Location_ID,Location_Name,Location_Description,Location
RSR837,RSR837,Strait of Georgia: Rosario Strait - Peapod Rock,San Juan Islands
BLL011,BLL011,Bellingham Bay - Off Nooksack River,Georgia Basin
BUD002,BUD002,Budd Inlet - South End Oly Port,South Puget Sound
CMB006,CMB006,Commencement Bay - Mouth of City WW,Central Puget Sound
CSE002,CSE002,Case Inlet - Off Rocky Point,South Puget Sound
DIS001,DIS001,Discovery Bay - Near Mill Point,Juan de Fuca
DRA002,DRA002,Drayton Harbor - Inner Harbor,Georgia Basin
DUN001,DUN001,Dungeness Bay,Juan de Fuca
DYE004,DYE004,Dyes Inlet - NE of Chico Bay,Central Puget Sound
EAG001,EAG001,Eagle Harbor - Inner,Central Puget Sound
EAS001,EAS001,East Sound - Rosario Point,San Juan Islands
ELD001,ELD001,Eld Inlet - Flapjack Point,South Puget Sound
ELD002,ELD002,Eld Inlet - South Flapjack Point,South Puget Sound
FID001,FID001,Fidalgo Bay - East of Anacortes,San Juan Islands
GYS004,GYS004,Grays Harbor - Chehalis River,Coast
GYS008,GYS008,Grays Harbor - Mid-South Channel,Coast
GYS009,GYS009,Grays Harbor - Moon Island Reach,Coast
GYS015,GYS015,Grays Harbor - North Whitcomb Flats,Coast
GYS016,GYS016,Grays Harbor - Damon Point,Coast
HCB003,HCB003,Hood Canal - Eldon Hamma Hamma River,Hood Canal
HCB006,HCB006,Hood Canal - King Spit Bangor,Hood Canal
HCB007,HCB007,Hood Canal - Lynch Cove,Hood Canal
HCB008,HCB008,"Hood Canal - King Spit, Bangor Post 9/11/2001 station",Hood Canal
HCB009,HCB009,"Hood Canal - Hazel Point, Bangor Post 9/11/2001 station",Hood Canal
HCB010,HCB010,"Hood Canal - Send Creek, Bangor Post 9/11/2001 station",Hood Canal
HCB013,HCB013,"Hood Canal - north of Hood Canal Bridge, near Salsbury Point",Hood Canal
HLM001,HLM001,Holmes Harbor - Honeymoon Bay,Whidbey Basin
HND001,HND001,Henderson Inlet - Cliff Point,South Puget Sound
JDF007,JDF007,Strait of Juan de Fuca - Sequim Bay Goose Point,Juan de Fuca
LOP001,LOP001,Lopez Island - Decatur Island,San Juan Islands
PAH003,PAH003,Port Angeles Harbor - Ediz Hook Head,Juan de Fuca
PGA001,PGA001,Port Gamble - Inner Harbor,Hood Canal
PMA001,PMA001,Port Madison - South of Buoy 65,Central Puget Sound
PNN001,PNN001,Penn Cove Park Whidbey Island,Whidbey Basin
POD007,POD007,Port Orchard - Inner,Central Puget Sound
PSS010,PSS010,Whidbey Basin: Possession Sound - Added post-9/11 for TFR,Whidbey Basin
QMH002,QMH002,Quartermaster Harbor - Inner Harbor,Central Puget Sound
SEQ002,SEQ002,Sequim Bay - Northern,Juan de Fuca
SIN001,SIN001,Sinclair Inlet - Naval Shipyards,Central Puget Sound
SJF000,SJF000,Strait of Juan de Fuca - South of Cattle Point - North,Juan de Fuca
SJF001,SJF001,Strait of Juan de Fuca - South of Cattle Point - Central,Juan de Fuca
SUZ001,SUZ001,Port Susan - Kayak Point,Whidbey Basin
TOT001,TOT001,Totten Inlet - Windy Point,South Puget Sound
TOT002,TOT002,Inner Totten Inlet,South Puget Sound
WPA001,WPA001,Willapa Bay - Willapa River Raymond,Coast
WPA003,WPA003,Willapa Bay - Willapa River Johnson Slough,Coast
WPA004,WPA004,Willapa Bay - Toke Point,Coast
WPA006,WPA006,Willapa Bay - Nahcotta Channel,Coast
WPA007,WPA007,"Willapa Bay - Long Island, South Jenson Point",Coast
WPA008,WPA008,Willapa Bay - Naselle River,Coast
WPA102,WPA102,Willapa Bay: WRT002,Coast
WPA113,WPA113,Willapa Bay - Bay Center (Nav-Aid green number 1) - MT008,Coast
ADM003,ADM003,Admiralty Inlet south,Admiralty Inlet
CMB003,CMB003,Commencement Bay - Browns Point,Central Puget Sound
EAP001,EAP001,East Passage - Southwest of Three Tree Point,Central Puget Sound
ELB015,ELB015,Elliott Bay - East of Duwamish Head,Central Puget Sound
GRG002,GRG002,Georgia Strait - North of Patos Island,Georgia Basin
HCB004,HCB004,Hood Canal - Gt. Bend Sisters Point,Hood Canal
PSB003,PSB003,Puget Sound Main Basin - West Point,Central Puget Sound
SJF002,SJF002,Strait of Juan de Fuca - South of Cattle Point - South,Juan de Fuca
BLL009,BLL009,Bellingham Bay - Port Frances,Georgia Basin
BUD005,BUD005,Budd Inlet - Olympia Shoal,South Puget Sound
CRR001,CRR001,Carr Inlet - Off Green Point,South Puget Sound
CSE001,CSE001,Case Inlet - South Heron Island,South Puget Sound
DNA001,DNA001,Dana Passage - South of Brisco Point,South Puget Sound
NSQ002,NSQ002,Nisqually Reach - Devils Head,South Puget Sound
OAK004,OAK004,Oakland Bay - Near Eagle Point,South Puget Sound
PSS019,PSS019,Possession Sound - Gedney Island,Whidbey Basin
SKG003,SKG003,Skagit Bay - Str. Point Red Buoy,Whidbey Basin
ADM002,ADM002,Admiralty Inlet north - Quimper Point,Admiralty Inlet
SAR003,SAR003,Saratoga Passage - East Point,Whidbey Basin
ADM001,ADM001,Admiralty Inlet - Bush Point,Admiralty Inlet
BLL040,BLL040,Strait of Georgia: Bellingham Bay - east of Chuckanut Rock,Georgia Basin
GOR001,GOR001,Northwest of Gordon Point; between Balch Passage & Toliva Shoal,South Puget Sound
PTH005,PTH005,Port Townsend Harbor - Walan Point,Admiralty Inlet
